(216, 40, 73)
(24, 56, 56)
(22, 100, 22)
(18, 43, 74)
(27, 100, 49)
(21, 53, 69)
(28, 100, 49)
(20, 51, 69)
(94, 41, 29)
(21, 43, 68)
(62, 76, 28)
(19, 55, 62)
(19, 100, 27)
(24, 41, 71)
(19, 100, 13)
(16, 38, 74)
(18, 100, 16)
(22, 55, 59)
(51, 69, 19)
(9, 32, 67)
(201, 24, 68)
(22, 43, 68)
(97, 17, 42)
(22, 43, 68)
(218, 30, 71)
(18, 40, 74)
(9, 82, 22)
(23, 48, 74)
(212, 41, 59)
(20, 51, 69)
(196, 24, 38)
(12, 44, 70)
(9, 82, 22)
(20, 46, 78)
(215, 43, 61)
(9, 32, 67)
(210, 39, 46)
(20, 39, 81)
(210, 36, 48)
(22, 41, 76)
(24, 100, 23)
(17, 39, 84)
(20, 100, 16)
(13, 31, 84)
(27, 100, 22)
(23, 34, 73)
(207, 31, 39)
(23, 46, 78)
(20, 100, 16)
(14, 36, 86)
(214, 33, 87)
(14, 37, 87)
(214, 41, 65)
(21, 49, 64)
(29, 100, 16)
(14, 44, 67)
(37, 100, 52)
(18, 43, 74)
(27, 82, 22)
(18, 34, 78)
(198, 21, 61)
(17, 34, 84)
(9, 82, 22)
(25, 59, 41)
(212, 38, 78)
(13, 31, 84)
(20, 100, 12)
(19, 37, 81)
(207, 31, 87)
(17, 36, 81)
(9, 82, 22)
(15, 34, 23)
(143, 18, 45)
(20, 50, 69)
(177, 19, 40)
(18, 40, 74)
(213, 32, 91)
(15, 59, 31)
(21, 100, 34)
(12, 44, 70)
(22, 100, 22)
(16, 36, 81)
(208, 34, 64)
(13, 31, 84)
(208, 34, 64)
(13, 31, 84)
(35, 100, 51)
(20, 51, 64)
(195, 24, 46)
(14, 36, 86)
(185, 15, 67)
(22, 47, 61)
(77, 40, 32)
(17, 44, 69)
(218, 38, 43)
(16, 38, 74)
(206, 39, 48)
(15, 39, 83)
(31, 100, 22)
(20, 47, 74)
(21, 100, 13)
(13, 31, 84)
(84, 44, 51)
(18, 34, 78)
(19, 100, 12)
(24, 56, 49)
(198, 27, 34)
(20, 36, 81)
(47, 100, 51)
(15, 32, 87)
(46, 100, 45)
(15, 35, 84)
(214, 33, 59)
(14, 30, 82)
(27, 100, 21)
(25, 56, 48)
(9, 82, 22)
(22, 47, 61)
(202, 26, 49)
(20, 49, 71)
(32, 100, 32)
(22, 38, 82)
(20, 100, 16)
(16, 37, 81)
(16, 80, 16)
(21, 43, 84)
(20, 100, 16)
(17, 35, 78)
(32, 100, 32)
(22, 38, 82)
(32, 100, 32)
(22, 38, 82)
(21, 100, 13)
(20, 50, 32)
(190, 19, 47)
(20, 46, 70)
(213, 32, 91)
(21, 48, 74)
(207, 27, 84)
(19, 47, 71)
(111, 27, 30)
(15, 49, 43)
(34, 100, 48)
(16, 37, 81)
(82, 30, 32)
(15, 32, 87)
(193, 12, 46)
(17, 38, 65)
(19, 100, 12)
(27, 71, 42)
(206, 26, 83)
