(112, 142, 186)
(142, 94, 63)
(55, 20, 0)
(189, 131, 107)
(126, 56, 0)
(177, 117, 84)
(126, 58, 0)
(177, 117, 87)
(56, 73, 43)
(173, 125, 99)
(70, 72, 17)
(159, 99, 71)
(68, 22, 0)
(181, 136, 107)
(34, 11, 0)
(188, 136, 117)
(41, 12, 0)
(150, 98, 68)
(48, 43, 15)
(170, 123, 115)
(131, 158, 173)
(173, 126, 99)
(96, 107, 89)
(173, 126, 99)
(126, 146, 181)
(189, 136, 113)
(56, 17, 10)
(189, 133, 99)
(89, 117, 150)
(177, 117, 87)
(73, 90, 96)
(179, 116, 100)
(56, 17, 10)
(198, 138, 107)
(89, 117, 156)
(170, 123, 115)
(72, 95, 118)
(206, 152, 126)
(79, 101, 123)
(195, 144, 115)
(59, 24, 0)
(214, 155, 131)
(41, 14, 0)
(214, 162, 148)
(56, 25, 0)
(187, 148, 123)
(68, 85, 99)
(198, 142, 107)
(41, 14, 0)
(219, 159, 140)
(148, 180, 222)
(222, 159, 140)
(99, 128, 167)
(164, 111, 83)
(41, 20, 0)
(170, 112, 95)
(133, 82, 0)
(189, 132, 107)
(56, 31, 10)
(198, 151, 131)
(123, 146, 156)
(214, 162, 142)
(56, 17, 10)
(104, 68, 43)
(123, 158, 198)
(214, 162, 148)
(30, 10, 0)
(206, 154, 129)
(153, 191, 222)
(206, 152, 131)
(56, 17, 10)
(58, 43, 38)
(93, 114, 101)
(177, 117, 88)
(83, 102, 101)
(189, 136, 113)
(156, 190, 231)
(79, 44, 32)
(86, 30, 0)
(179, 116, 100)
(55, 20, 0)
(206, 151, 131)
(107, 136, 162)
(214, 162, 148)
(107, 136, 162)
(214, 162, 148)
(131, 77, 0)
(162, 107, 79)
(89, 110, 117)
(219, 159, 140)
(145, 168, 170)
(156, 109, 82)
(72, 81, 49)
(177, 121, 99)
(68, 83, 109)
(188, 136, 117)
(75, 102, 123)
(211, 150, 129)
(55, 28, 0)
(189, 131, 101)
(32, 11, 0)
(214, 162, 148)
(107, 130, 73)
(198, 151, 131)
(31, 10, 0)
(126, 83, 55)
(63, 79, 86)
(206, 156, 131)
(131, 103, 0)
(223, 170, 152)
(115, 89, 0)
(214, 158, 140)
(101, 122, 150)
(210, 162, 148)
(54, 24, 0)
(123, 83, 54)
(56, 17, 10)
(156, 109, 82)
(93, 114, 126)
(181, 122, 93)
(82, 44, 0)
(208, 158, 129)
(41, 14, 0)
(206, 150, 129)
(41, 17, 8)
(214, 155, 123)
(41, 14, 0)
(200, 150, 131)
(82, 44, 0)
(208, 158, 129)
(82, 44, 0)
(208, 158, 129)
(32, 11, 0)
(82, 55, 41)
(96, 115, 119)
(178, 123, 96)
(156, 190, 231)
(189, 130, 99)
(156, 188, 214)
(181, 123, 96)
(59, 77, 56)
(109, 69, 56)
(123, 69, 0)
(206, 150, 129)
(73, 82, 57)
(223, 170, 152)
(104, 115, 118)
(167, 121, 103)
(31, 10, 0)
(107, 65, 31)
(156, 187, 211)
(170, 122, 110)
(85, 26, 0)
(150, 99, 68)
(131, 102, 0)
(198, 150, 118)
(99, 125, 148)
(195, 138, 107)
(145, 180, 222)
(216, 160, 140)
(37, 56, 68)
(219, 159, 140)
(70, 45, 0)
(203, 154, 131)
(131, 147, 167)
(182, 122, 96)
(72, 36, 8)
(181, 125, 99)
(89, 109, 107)
(214, 162, 148)
(66, 30, 0)
(167, 111, 83)
(104, 128, 148)
(181, 125, 99)
(123, 44, 0)
(214, 162, 148)
(123, 44, 0)
(214, 162, 148)
(140, 174, 214)
(214, 162, 142)
(148, 187, 231)
(167, 121, 103)
(66, 84, 66)
(82, 55, 49)
(99, 117, 59)
(159, 111, 95)
(63, 85, 112)
(214, 162, 140)
(66, 52, 20)
(121, 71, 52)
(41, 15, 0)
(203, 154, 131)
(51, 24, 0)
(189, 131, 104)
(107, 135, 175)
(216, 159, 140)
(89, 109, 123)
(179, 116, 100)
(85, 114, 93)
(181, 131, 107)
(41, 59, 82)
(189, 130, 99)
(47, 11, 2)
(182, 122, 96)
(30, 10, 0)
(214, 162, 148)
(153, 178, 189)
(145, 103, 74)
(51, 69, 89)
(214, 154, 131)
(45, 63, 79)
(195, 144, 115)
(41, 10, 0)
(145, 99, 69)
(99, 125, 89)
(195, 138, 107)
(41, 59, 82)
(177, 121, 99)
(123, 105, 0)
(214, 152, 115)
(131, 105, 0)
(211, 156, 137)
(69, 81, 56)
(187, 139, 116)
(96, 117, 133)
